index	datetime	x_1_num	x_2_cat	x_3_txt	y_1_value	y_2_class	y_3_forecast	y_4_bin
1.00	15/07/2020 22:00	0.06	A	ððð_ @ Catedral de Santo Ant™nio - Governador Valadares/MG https://t.co/JSbKamIqUJ	0.06	A	0.12	positivo
2.00	15/07/2020 22:15	0.22	B	ð @ Governador Valadares. Minas Gerais https://t.co/B3ThIDJCSf	0.21	B	0.47	negativo
3.00	15/07/2020 22:30	0.34	C	ðð @ Governador Valadares. Minas Gerais https://t.co/dPkgzVR2Qw	0.34	A	0.79	positivo
4.00	15/07/2020 22:45	0.11	A	ððð https://t.co/BnDsO34qK0	0.10	C	0.39	negativo
5.00	15/07/2020 23:00	0.48	D	ððð PSOL vai questionar aumento de vereadores e prefeito de BH na Justia - Politica - Estado de Minas https://t.co/DMg7BGsek5	0.47	B	1.02	positivo
6.00	15/07/2020 23:15	0.42	C	""" bom Ž bandido morto"""	0.40	A	1.09	negativo
7.00	15/07/2020 23:30	0.52	D		0.49	C	1.25	positivo
8.00	15/07/2020 23:45	0.52	B	"""..E 25% dos mineiros dizem n‹o torcer para time nenhum.mesmo dentro de um estado com AtlŽtico-MG e Cruzeiro. Pq?.."" https://t.co/fN5evlLQsR"	0.50	A	1.29	negativo
9.00	16/07/2020 00:00	0.72	A	"""A gigantesca barba do mal"" em destaque no caderno Cultura do Estado de Minas. https://t.co/PxNurIkTlw"	0.67	B	1.70	positivo
10.00	16/07/2020 00:15	0.15	C	"""BB e governo de Minas travam disputa sobre dep—sitos judiciais"" https://t.co/CnMu2A2Qo5"	0.16	C	0.66	negativo
11.00	16/07/2020 00:30	0.18	B	"""com vcs bh fica pequena!"" Belo Horizonte (pron. [b_lo_i_z›nt_i][10]) Ž a capital do estado de MG. com uma ‡rea de aproximadamente 331 km_"	0.18	A	0.43	positivo
12.00	16/07/2020 00:45	0.26	A	"""Da’ a gente visita governador valadares"""	0.26	A	0.61	negativo
13.00	16/07/2020 01:00	0.24	B		0.22	B	0.60	positivo
14.00	16/07/2020 01:15	0.39	C		0.39	A	0.90	negativo
15.00	16/07/2020 01:30	0.81	A		0.73	C	1.82	positivo
16.00	16/07/2020 01:45	0.24	D		0.24	B	0.88	negativo
17.00	16/07/2020 02:00	0.53	C	"""ƒ bonita e Ž bonita..."" "	0.51	A	1.17	positivo
18.00	16/07/2020 02:15	0.71	D		0.66	C	1.69	negativo
19.00	16/07/2020 02:30	0.06	B	"""erro desconhecido"" Ž mato! Ali‡s. Ž da secretaria estadual de fazenda que t‡ assim... MG n‹o precisa de dinheiro n‹o. Governador?"	0.06	A	0.47	positivo
20.00	16/07/2020 02:45	0.33	A	"""La La Land: Cantando Esta›es"" arrasa no Globo de Ouro - Estado de Minas https://t.co/aQ0NG1bp5f https://t.co/aY3qlrVnTE"	0.33	B	0.68	negativo
21.00	16/07/2020 03:00	0.88	C	"""La La Land: Cantando Esta›es"" arrasa no Globo de Ouro - Estado de Minas https://t.co/qRI9DCiicc"	0.77	C	1.92	positivo
22.00	16/07/2020 03:15	0.66	B	"""Los abusos. aun en el estado m‡s s—lido. son minas sordas que tarde o temprano estallan"" Joseph Sanial-Dubay"	0.61	A	1.76	negativo
23.00	16/07/2020 03:30	0.18	A	"""Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helic—pteros."" Dois... Helic—pteros... Minas Gerais... #2017 s1"	0.19	A	0.69	positivo
24.00	16/07/2020 03:45	0.70	B	"""Modelo de segurana ser‡ o nosso legado"". diz Cl‡udio Beato - Politica - Estado de Minas https://t.co/1MqOJo7Nnf"	0.63	B	1.49	negativo
25.00	16/07/2020 04:00	0.94	C	"""Modelo de segurana ser‡ o nosso legado"". diz Cl‡udio Beato - Politica - Estado de Minas https://t.co/kA09mEn4xN"	0.80	A	2.24	positivo
26.00	16/07/2020 04:15	0.95	A	"""Modelo de segurana ser‡ o nosso legado"". diz Cl‡udio Beato - Politica - Estado de Minas https://t.co/S97Khxldiu"	0.80	C	2.37	negativo
27.00	16/07/2020 04:30	0.46	D	"""O governo de Minas Gerais n‹o comentou o assunto. """	0.46	B	1.40	positivo
28.00	16/07/2020 04:45	0.84	C		0.75	A	1.91	negativo
29.00	16/07/2020 05:00	0.54	D		0.51	C	1.50	positivo
30.00	16/07/2020 05:15	0.04	B	"""O governo federal publicou no dia 27 de dezembro de 2016. a Medida Provis—ria 764/16 que permite a diferencia‹o... https://t.co/0DlDpZ9WGz"	0.04	A	0.34	negativo
31.00	16/07/2020 05:30	0.21	A	"""Pol’cia Federal acaba de divulgar que encontrou provas no apartamento do Lula. mas s— atŽ a 4» sŽrie."" Jornal Estado de Minas"	0.20	B	0.43	positivo
32.00	16/07/2020 05:45	0.65	C	"""Praia da Esta‹o"" lota neste s‡bado de ver‹o em BH - Gerais - Estado de Minas https://t.co/DpG3CNfZBb"	0.61	C	1.41	negativo
33.00	16/07/2020 06:00	0.86	B	"""Representando mais uma ferramenta de monitoramento da educa‹o da rede estadual em Minas. a Secretaria de Estado... https://t.co/brsfBqHXlQ"	0.77	A	2.05	positivo
34.00	16/07/2020 06:15	0.05	A	"""uso de aeronave pertencente ao  Estado de MG. em domingo. p/ fins pessoais.  em claro desvio de finalidade"" - https://t.co/WEfv5iLyju"	0.05	A	0.53	negativo
35.00	16/07/2020 06:30	0.42	B	"""vou postar umas curiosidades sobre o corpo humano"""	0.41	B	0.87	positivo
36.00	16/07/2020 06:45	0.10	C		0.11	A	0.40	negativo
37.00	16/07/2020 07:00	0.51	A		0.50	C	1.07	positivo
38.00	16/07/2020 07:15	0.71	D	#ACORDAMINAS!!!	0.65	B	1.68	negativo
39.00	16/07/2020 07:30	0.62	C		0.59	A	1.59	positivo
40.00	16/07/2020 07:45	0.97	D		0.82	C	2.24	negativo
41.00	16/07/2020 08:00	0.27	B	#ACORDAMINAS!!!!	0.27	A	1.02	positivo
42.00	16/07/2020 08:15	0.22	A		0.23	B	0.58	negativo
43.00	16/07/2020 08:30	0.27	C		0.26	C	0.66	positivo
44.00	16/07/2020 08:45	0.43	B	#Alerta - Nome da CEEE Ž utilizado em golpe no Estado. https://t.co/i5ndsWhXR4 https://t.co/yaEM6s3Z2f	0.42	A	1.00	negativo
45.00	16/07/2020 09:00	0.35	A	#beta #betalab #mg Afiliada da Globo: Apresentador no AM Ž demitido ap—s criticar governadorÉ https://t.co/hlH8ITxXig	0.33	A	0.91	positivo
46.00	16/07/2020 09:15	0.46	B	#beta #betalab #mg Caos nos pres’dios: AM pede apoio ˆ Uni‹o seis dias ap—s massacre https://t.co/GRv0HkrX3TÉ https://t.co/YJy2RcSfWZ	0.44	B	1.10	negativo
47.00	16/07/2020 09:30	0.01	C	#beta #betalab #mg Caos nos pres’dios: Temer e C‡rmen Lœcia se reœnem para debater crise https://t.co/e34RNvtU7vÉ https://t.co/8xKwPTOv4C	0.01	A	0.26	positivo
48.00	16/07/2020 09:45	0.02	A	#beta #betalab #mg Crise carcer‡ria: Governo de Roraima pede Fora Nacional a Temer https://t.co/wLslS1T6ZIÉ https://t.co/NK4c5IhNUg	0.03	C	0.05	negativo
49.00	16/07/2020 10:00	0.87	D	#beta #betalab #mg Crise carcer‡ria: Secret‡rio de SP diz haver guerra de fac›es no pa’s https://t.co/RSf2Tk1VmXÉ https://t.co/Sonel0f8Xq	0.75	B	1.75	positivo
50.00	16/07/2020 10:15	0.39	C	#beta #betalab #mg Crise pol’tica no DF se agrava: Rollemberg exonera vice-governador de cargoÉ https://t.co/idJfAELeW4 #timbeta #rt #brasil	0.38	A	1.21	negativo
51.00	16/07/2020 10:30	0.15	D	#beta #betalab #mg Escalada de violncia nos pres’dios: AM pede apoio da Fora Nacional	0.15	C	0.50	positivo
52.00	16/07/2020 10:45	0.88	B	#beta #betalab #mg Escalada de violncia: Crime organizado no Brasil Ž disputado por 27É https://t.co/loRe3EfGaFÉ https://t.co/sSY5liKfMl	0.76	A	1.83	negativo
53.00	16/07/2020 11:00	0.70	A	#beta #betalab #mg Estado afirma n‹o ter sido notificado: Apesar de decis‹o judicial. reajusteÉÉ https://t.co/IMG9Vxs4nK	0.65	B	1.85	positivo
54.00	16/07/2020 11:15	0.04	C	"#beta #betalab #mg Estado de esp’rito do paulistano: ""Voz"" do tr‰nsito. buzina reflete pressa.ÉÉ https://t.co/hvLy03lyt3"	0.05	C	0.44	negativo
55.00	16/07/2020 11:30	0.62	B	#beta #betalab #mg Estados falidos: Parte do PMDB quer barrar vetos de Temer na negocia‹o deÉÉ https://t.co/h9KQvBYlYV	0.58	A	1.27	positivo
56.00	16/07/2020 11:45	0.39	A	#beta #betalab #mg Ex-ministro e outros: Servidores da era PT se mantm em cargos estratŽgicosÉ https://t.co/Q2Nor97ngg #timbeta #rt #brasil	0.37	A	1.10	negativo
